name,cat,note,SHARP_acum,SHARP_exc,PROM_db,PROM_hz,peak_motion,REL_db,HF8K_pct,PAIN_pct,K_db,SHARP_noRes,PAIN_noRes_pct,RESLIFT_db,PROM_noRes_db,win_ms,flags,err
FANFARE FALLS,CHIP,C2,1.72,0.53,-4.88,1209.5,n/a,-23.7,0.016,1.402,45.47,1.724,1.417,-0.05,-4.87,1900.0,,
FANFARE FALLS,CHIP,C3,1.882,0.533,-3.58,1357.6,n/a,-15.74,0.042,3.126,46.04,1.886,3.162,-0.05,-3.57,920.0,,
FANFARE FALLS,CHIP,C4,2.059,0.567,-4.83,1209.5,n/a,-11.99,0.057,3.828,48.3,2.066,4.102,-0.3,-4.51,570.0,,
FANFARE FALLS,CHIP,C5,2.159,0.077,0.0,1838.6,n/a,-9.25,0.081,7.278,48.57,2.164,7.361,-0.05,0.0,660.0,,
FANFARE FALLS,CHIP,C6,2.309,-0.091,0.0,3677.2,n/a,-14.86,0.095,9.128,50.89,2.315,9.234,-0.05,0.0,1280.0,,
FAR THUNDER,FX,C2,0.506,-0.683,-99.0,0.0,n/a,-99.0,0.0,0.0,51.89,0.509,0.0,0.0,-99.0,1840.0,,
FAR THUNDER,FX,C3,0.498,-0.851,-99.0,0.0,n/a,-99.0,0.0,0.0,53.03,0.5,0.0,0.0,-99.0,1850.0,,
FAR THUNDER,FX,C4,0.564,-0.928,-99.0,0.0,n/a,-99.0,0.0,0.0,46.0,0.568,0.0,0.0,-99.0,1550.0,,
FELT MALLET,PLUCK,C2,0.772,-0.417,-99.0,0.0,n/a,-99.0,0.0,0.0,44.02,0.77,0.0,0.0,-99.0,470.0,,
FELT MALLET,PLUCK,C3,0.934,-0.415,-99.0,0.0,n/a,-99.0,0.0,0.011,44.32,0.93,0.01,0.41,-99.0,310.0,,
FELT MALLET,PLUCK,C4,1.061,-0.431,-13.31,1209.5,n/a,-27.79,0.0,0.025,46.02,1.056,0.023,0.36,-13.23,1740.0,,
FELT MALLET,PLUCK,C5,1.303,-0.779,0.0,1865.3,n/a,-24.19,0.0,0.109,45.63,1.297,0.106,0.12,0.0,480.0,,
FELT MALLET,PLUCK,C6,1.77,-0.63,0.0,3730.7,n/a,-25.82,0.001,0.932,41.11,1.761,0.926,0.03,0.0,1250.0,,
FERN CANOPY,PAD,C2,1.445,0.256,-12.34,1209.5,n/a,-23.36,0.034,0.179,49.67,1.446,0.184,-0.12,-12.28,410.0,,
FERN CANOPY,PAD,C3,1.645,0.296,-7.56,1209.5,n/a,-11.46,0.088,0.269,49.08,1.646,0.275,-0.1,-7.49,420.0,,
FERN CANOPY,PAD,C4,1.832,0.34,-8.02,1209.5,n/a,-17.59,0.034,0.085,61.09,1.833,0.087,-0.1,-7.95,410.0,,
FERN CANOPY,PAD,C5,2.187,0.105,0.0,1838.6,n/a,-10.84,0.118,1.478,49.18,2.187,1.52,-0.12,0.0,1070.0,,
FERN CANOPY,PAD,C6,2.61,0.21,-2.54,5430.6,n/a,-27.24,0.288,1.385,52.79,2.61,1.403,-0.06,-2.54,1080.0,,
FLINT HAT,PERC,C2,3.802,2.612,11.46,8255.0,n/a,-13.97,81.601,9.105,12.38,3.822,8.124,0.5,11.29,150.0,SHARP+FIXPEAK+HASH,
FLINT HAT,PERC,C3,3.802,2.453,1.66,8136.7,n/a,-13.97,81.601,9.105,12.38,3.822,8.124,0.5,1.44,150.0,SHARP+HASH,
FLINT HAT,PERC,C4,3.802,2.31,1.59,8136.7,n/a,-13.97,81.601,9.105,12.38,3.822,8.124,0.5,1.36,150.0,SHARP+HASH,
FLINT WHISTLE,LEAD,C2,1.564,0.375,4.08,1459.3,tracks,-14.69,0.005,2.817,49.22,1.567,2.862,-0.07,4.09,720.0,,
FLINT WHISTLE,LEAD,C3,1.786,0.437,3.85,2918.6,tracks,-18.74,0.015,4.973,50.12,1.79,5.049,-0.07,3.88,1310.0,,
FLINT WHISTLE,LEAD,C4,2.079,0.587,4.77,5837.2,tracks,-22.54,0.027,16.88,50.54,2.084,17.034,-0.04,4.82,1620.0,,
FLINT WHISTLE,LEAD,C5,2.392,0.31,0.0,1591.4,tracks,0.0,0.042,50.995,50.57,2.396,51.302,-0.03,0.0,1760.0,,
FLINT WHISTLE,LEAD,C6,2.829,0.429,0.0,3182.7,tracks,0.0,1.002,93.626,48.54,2.833,93.465,0.01,0.0,1830.0,,
FOREST LULLABY,KEYS,C2,1.143,-0.046,-99.0,0.0,n/a,-99.0,0.002,0.0,48.67,1.144,0.0,0.0,-99.0,1890.0,,
FOREST LULLABY,KEYS,C3,1.388,0.039,-9.81,1209.5,n/a,-29.39,0.006,0.003,49.41,1.389,0.003,0.0,-9.77,1890.0,,
FOREST LULLABY,KEYS,C4,1.712,0.22,-4.86,1812.2,n/a,-24.91,0.015,0.071,50.8,1.712,0.073,-0.12,-4.82,1890.0,,
FOREST LULLABY,KEYS,C5,2.119,0.038,0.0,1838.6,n/a,-17.38,0.04,0.618,51.29,2.12,0.639,-0.15,0.0,1890.0,,
FOREST LULLABY,KEYS,C6,2.63,0.23,-3.33,7145.0,n/a,-27.29,0.18,4.478,49.31,2.631,4.571,-0.09,-3.33,1890.0,,
FORGE HOWL,LEAD,C2,1.636,0.446,-4.03,2715.3,n/a,-29.79,0.018,0.709,45.59,1.603,0.669,0.25,-4.13,1880.0,,
FORGE HOWL,LEAD,C3,1.669,0.32,-1.42,1245.0,n/a,-22.88,0.036,1.406,48.13,1.636,1.328,0.25,-1.44,1890.0,,
FORGE HOWL,LEAD,C4,1.818,0.326,-2.06,1209.5,n/a,-15.84,0.061,2.462,49.57,1.782,2.318,0.26,-2.08,1120.0,,
FORGE HOWL,LEAD,C5,2.066,-0.016,-3.05,3182.7,n/a,-21.2,0.104,5.364,50.65,2.024,5.113,0.21,-3.14,600.0,,
FORGE HOWL,LEAD,C6,2.508,0.108,-2.26,4501.1,n/a,-16.76,0.17,10.612,51.16,2.456,10.17,0.18,-2.48,1250.0,,
FROSTBYTE,PAD,C2,0.862,-0.328,-8.18,1281.4,n/a,-26.08,0.0,0.022,43.39,0.863,0.022,0.0,-8.12,710.0,,
FROSTBYTE,PAD,C3,0.947,-0.402,-6.63,1357.6,n/a,-25.85,0.0,0.02,46.58,0.948,0.021,-0.21,-6.59,870.0,,
FROSTBYTE,PAD,C4,1.046,-0.446,-10.33,1209.5,n/a,-23.48,0.0,0.029,49.24,1.046,0.03,-0.15,-10.29,730.0,,
FROSTBYTE,PAD,C5,1.202,-0.88,-1.65,1838.6,n/a,-22.86,0.0,0.057,47.81,1.202,0.058,-0.08,-1.63,650.0,,
FROSTBYTE,PAD,C6,1.537,-0.863,-99.0,0.0,n/a,-99.0,0.0,0.235,45.26,1.535,0.234,0.02,-99.0,950.0,,
FROST CHIME,KEYS,C2,1.259,0.069,0.18,1786.3,n/a,-21.95,0.0,0.711,49.63,1.261,0.733,-0.13,0.22,1900.0,,
FROST CHIME,KEYS,C3,1.354,0.005,2.65,1591.4,n/a,-17.33,0.0,0.928,50.99,1.357,0.956,-0.13,2.68,1900.0,,
FROST CHIME,KEYS,C4,1.459,-0.033,0.61,1812.2,n/a,-11.48,0.0,2.726,50.48,1.461,2.805,-0.12,0.64,1900.0,,
FROST CHIME,KEYS,C5,1.621,-0.461,0.0,1838.6,n/a,-4.98,0.0,3.454,51.29,1.623,3.535,-0.1,0.0,1900.0,,
FROST CHIME,KEYS,C6,1.937,-0.463,0.0,3677.2,n/a,-5.29,0.002,26.982,46.9,1.939,27.521,-0.09,0.0,1810.0,,
GEODE VOICE,LEAD,C2,1.665,0.476,-2.77,1209.5,tracks,-18.72,0.041,2.01,48.22,1.668,2.023,-0.03,-2.77,440.0,,
GEODE VOICE,LEAD,C3,1.8,0.451,-2.37,2638.0,tracks,-21.74,0.083,3.812,49.19,1.803,3.836,-0.03,-2.35,710.0,,
GEODE VOICE,LEAD,C4,2.049,0.557,8.14,1838.6,tracks,-11.55,0.138,7.666,49.92,2.053,7.708,-0.02,8.15,680.0,,
GEODE VOICE,LEAD,C5,2.39,0.308,7.86,3624.5,tracks,-10.95,0.201,10.396,51.13,2.395,10.455,-0.02,7.88,1620.0,,
GEODE VOICE,LEAD,C6,2.792,0.392,7.39,7249.0,tracks,-12.72,0.667,54.851,51.44,2.798,54.919,-0.01,7.44,940.0,,
GILDED ORGAN,KEYS,C2,1.095,-0.095,-8.19,1209.5,n/a,-26.87,0.0,0.075,45.23,1.096,0.078,-0.17,-8.12,1870.0,,
GILDED ORGAN,KEYS,C3,1.191,-0.158,-7.62,1812.2,n/a,-24.64,0.0,0.147,45.49,1.192,0.152,-0.15,-7.57,890.0,,
GILDED ORGAN,KEYS,C4,1.244,-0.248,-7.52,1209.5,n/a,-16.15,0.0,0.166,47.84,1.245,0.172,-0.15,-7.45,570.0,,
GILDED ORGAN,KEYS,C5,1.278,-0.804,0.0,1838.6,n/a,-15.33,0.0,0.247,48.37,1.279,0.254,-0.12,0.0,720.0,,
GILDED ORGAN,KEYS,C6,1.378,-1.022,0.0,3677.2,n/a,-29.19,0.0,0.313,47.98,1.379,0.317,-0.06,0.0,1350.0,,
GLASS RAIN,FX,C2,1.279,0.089,-5.09,1209.5,n/a,-24.78,0.001,0.408,40.11,1.271,0.385,0.25,-5.23,730.0,,
GLASS RAIN,FX,C3,1.417,0.068,-5.08,1357.6,n/a,-17.28,0.016,0.811,39.65,1.41,0.772,0.21,-5.38,760.0,,
GLASS RAIN,FX,C4,1.435,-0.057,-4.92,1209.5,n/a,-4.92,0.007,0.757,40.83,1.428,0.732,0.15,-5.16,740.0,,
GLINT CELESTA,KEYS,C2,0.974,-0.216,-0.35,2124.2,mixed,-27.36,0.0,0.119,50.23,0.976,0.124,-0.18,-0.3,1900.0,,
GLINT CELESTA,KEYS,C3,1.229,-0.12,-0.5,1209.5,mixed,-6.52,0.0,0.554,50.27,1.23,0.572,-0.14,-0.46,1890.0,,
GLINT CELESTA,KEYS,C4,1.549,0.057,3.99,1812.2,mixed,-5.72,0.003,10.904,50.86,1.552,11.134,-0.09,4.02,1900.0,,
GLINT CELESTA,KEYS,C5,2.016,-0.066,4.41,1591.4,mixed,0.0,0.027,20.306,51.38,2.02,20.552,-0.05,4.43,1890.0,,
GLINT CELESTA,KEYS,C6,2.689,0.289,3.8,3182.7,mixed,0.0,2.064,69.541,52.04,2.694,69.507,0.0,3.83,1900.0,,
GRIT SNARE,PERC,C2,1.09,-0.099,-2.51,1209.5,n/a,-28.25,0.0,0.083,39.59,1.087,0.073,0.56,-2.8,200.0,,
GRIT SNARE,PERC,C3,1.1,-0.249,-8.33,1209.5,n/a,-27.93,0.0,0.117,40.38,1.097,0.102,0.6,-8.67,200.0,,
GRIT SNARE,PERC,C4,1.131,-0.361,-6.22,1209.5,n/a,-23.61,0.0,0.127,40.56,1.129,0.112,0.55,-6.53,210.0,,
HAIL BULLETS,CHIP,C2,1.803,0.613,-3.1,2526.1,n/a,-29.38,0.163,1.796,45.74,1.804,1.797,-0.0,-3.1,1900.0,,
HAIL BULLETS,CHIP,C3,1.926,0.577,-2.9,2250.5,n/a,-26.56,0.209,2.282,48.13,1.927,2.283,-0.0,-2.9,1900.0,,
HAIL BULLETS,CHIP,C4,2.176,0.684,-0.82,2250.5,n/a,-21.19,0.347,3.772,49.41,2.177,3.774,-0.0,-0.81,1900.0,,
HAIL BULLETS,CHIP,C5,2.558,0.476,-2.09,4501.1,n/a,-22.46,0.545,9.507,50.39,2.559,9.51,-0.0,-2.09,1900.0,,
HAIL BULLETS,CHIP,C6,2.983,0.583,-3.56,3677.2,n/a,-12.32,1.209,18.037,50.81,2.984,18.039,-0.0,-3.55,1900.0,,
HAIL PECK,PLUCK,C2,0.856,-0.334,-99.0,0.0,n/a,-99.0,0.0,0.001,45.06,0.855,0.001,0.0,-99.0,430.0,,
HAIL PECK,PLUCK,C3,0.952,-0.397,-13.81,1209.5,n/a,-27.56,0.0,0.003,45.14,0.951,0.003,0.0,-14.0,420.0,,
HAIL PECK,PLUCK,C4,0.991,-0.501,-17.08,1209.5,n/a,-20.1,0.0,0.016,39.74,0.99,0.016,0.0,-17.17,500.0,,
HAIL PECK,PLUCK,C5,1.008,-1.074,0.0,1838.6,n/a,-24.44,0.0,0.011,45.58,1.008,0.011,0.0,0.0,330.0,,
HAIL PECK,PLUCK,C6,1.104,-1.296,-99.0,0.0,n/a,-99.0,0.0,0.012,46.26,1.106,0.013,-0.35,-99.0,230.0,,
HALF GATE,CHIP,C2,1.702,0.512,-3.19,1568.6,n/a,-27.78,0.008,0.659,47.75,1.706,0.667,-0.05,-3.19,1900.0,,
HALF GATE,CHIP,C3,1.883,0.534,-3.67,1786.3,n/a,-22.37,0.014,1.176,49.19,1.887,1.19,-0.05,-3.66,1900.0,,
HALF GATE,CHIP,C4,2.029,0.537,-3.62,2715.3,n/a,-21.41,0.035,2.345,49.68,2.034,2.372,-0.05,-3.59,1900.0,,
HALF GATE,CHIP,C5,2.159,0.077,0.0,1838.6,n/a,-9.38,0.049,4.809,49.92,2.165,4.865,-0.05,0.0,1900.0,,
HALF GATE,CHIP,C6,2.364,-0.036,0.0,3624.5,n/a,-10.06,0.096,9.318,50.26,2.369,9.426,-0.05,0.0,1900.0,,
HARVEST LUTE,PLUCK,C2,0.764,-0.425,-99.0,0.0,n/a,-99.0,0.0,0.0,44.16,0.762,0.0,0.0,-99.0,310.0,,
HARVEST LUTE,PLUCK,C3,0.889,-0.46,-99.0,0.0,n/a,-99.0,0.0,0.001,43.97,0.887,0.001,0.0,-99.0,600.0,,
HARVEST LUTE,PLUCK,C4,0.992,-0.5,-7.54,1209.5,n/a,-26.34,0.0,0.008,40.3,0.989,0.007,0.58,-7.44,530.0,,
HARVEST LUTE,PLUCK,C5,1.199,-0.883,0.0,1865.3,n/a,-21.25,0.0,0.042,33.88,1.197,0.042,0.0,0.0,380.0,,
HARVEST LUTE,PLUCK,C6,1.518,-0.882,-99.0,0.0,n/a,-99.0,0.0,0.183,30.9,1.516,0.194,-0.25,-99.0,170.0,,
HOLLOW GEODE,PLUCK,C2,0.924,-0.265,-6.34,1300.1,n/a,-28.32,0.0,0.006,51.01,0.909,0.005,0.79,-99.0,1640.0,,
HOLLOW GEODE,PLUCK,C3,1.15,-0.199,2.8,1209.5,n/a,-11.01,0.0,0.082,52.49,1.131,0.059,1.43,2.08,1890.0,,
HOLLOW GEODE,PLUCK,C4,1.399,-0.093,1.97,2093.8,n/a,-14.26,0.0,2.144,53.52,1.379,1.572,1.35,1.1,1630.0,,
HOLLOW GEODE,PLUCK,C5,1.729,-0.353,0.0,1812.2,n/a,-0.68,0.003,3.62,53.05,1.703,2.872,1.01,0.0,1890.0,,
HOLLOW GEODE,PLUCK,C6,2.262,-0.138,0.0,3624.5,n/a,-0.87,0.281,41.319,54.92,2.226,39.192,0.23,0.0,1430.0,,
HOLLOW HALL,KEYS,C2,0.872,-0.318,-99.0,0.0,n/a,-99.0,0.0,0.002,49.39,0.873,0.002,0.0,-99.0,1890.0,,
HOLLOW HALL,KEYS,C3,1.094,-0.255,-8.34,1209.5,n/a,-23.64,0.0,0.019,50.63,1.095,0.02,-0.22,-8.26,1890.0,,
HOLLOW HALL,KEYS,C4,1.301,-0.191,-6.34,1209.5,n/a,-16.74,0.0,0.171,51.27,1.303,0.178,-0.17,-6.28,1890.0,,
HOLLOW HALL,KEYS,C5,1.569,-0.513,0.0,1838.6,n/a,-10.82,0.0,1.163,51.06,1.571,1.202,-0.14,0.0,1890.0,,
HOLLOW HALL,KEYS,C6,1.972,-0.428,0.0,3677.2,n/a,-13.05,0.002,4.31,51.53,1.975,4.42,-0.11,0.0,1890.0,,
ICICLE HARP,PLUCK,C2,1.028,-0.161,-11.12,1281.4,n/a,-28.6,0.0,0.049,44.24,1.018,0.041,0.77,-11.43,580.0,,
ICICLE HARP,PLUCK,C3,1.258,-0.091,-2.76,1591.4,n/a,-20.86,0.001,0.251,43.0,1.243,0.22,0.57,-3.1,860.0,,
ICICLE HARP,PLUCK,C4,1.501,0.009,-3.49,1209.5,n/a,-5.48,0.008,1.176,43.19,1.486,1.093,0.32,-3.81,870.0,,
ICICLE HARP,PLUCK,C5,1.814,-0.268,-0.48,1591.4,n/a,-0.48,0.049,16.553,44.5,1.806,15.018,0.42,-0.64,630.0,,
ICICLE HARP,PLUCK,C6,2.386,-0.014,-1.51,3182.7,n/a,-1.51,0.534,53.811,44.03,2.38,51.426,0.2,-1.78,870.0,,
JINGLE SPRING,CHIP,C2,1.62,0.431,-3.21,1502.1,n/a,-21.03,0.017,2.315,44.13,1.624,2.34,-0.05,-3.2,1900.0,,
JINGLE SPRING,CHIP,C3,1.736,0.387,-4.35,3372.0,n/a,-24.26,0.032,3.888,45.62,1.74,3.931,-0.05,-4.32,1900.0,,
JINGLE SPRING,CHIP,C4,1.999,0.507,3.14,1812.2,n/a,-9.36,0.037,5.262,47.29,2.004,5.321,-0.05,3.14,740.0,,
JINGLE SPRING,CHIP,C5,2.229,0.147,1.94,3624.5,n/a,-17.68,0.03,5.381,49.75,2.234,5.448,-0.05,1.95,1310.0,,
JINGLE SPRING,CHIP,C6,2.437,0.037,-1.37,7249.0,n/a,-22.86,0.054,32.459,50.51,2.443,32.572,-0.02,-1.34,1610.0,,
KALIMBA COVE,PLUCK,C2,0.639,-0.55,-99.0,0.0,n/a,-99.0,0.0,0.0,43.67,0.638,0.0,0.0,-99.0,430.0,,
KALIMBA COVE,PLUCK,C3,0.727,-0.622,-99.0,0.0,n/a,-99.0,0.0,0.0,44.66,0.727,0.0,0.0,-99.0,430.0,,
KALIMBA COVE,PLUCK,C4,0.8,-0.692,-99.0,0.0,n/a,-99.0,0.0,0.0,44.97,0.801,0.0,0.0,-99.0,420.0,,
KALIMBA COVE,PLUCK,C5,0.946,-1.136,-99.0,0.0,n/a,-99.0,0.0,0.001,40.69,0.951,0.001,0.0,-99.0,390.0,,
KALIMBA COVE,PLUCK,C6,1.317,-1.083,-99.0,0.0,n/a,-99.0,0.0,0.012,31.43,1.322,0.013,-0.35,-99.0,290.0,,
KILN FIFE,LEAD,C2,1.657,0.468,-3.27,1459.3,n/a,-22.97,0.026,0.716,48.32,1.628,0.687,0.18,-3.29,1880.0,,
KILN FIFE,LEAD,C3,1.688,0.339,-3.94,1357.6,n/a,-24.78,0.05,1.437,50.61,1.659,1.381,0.17,-3.96,1890.0,,
KILN FIFE,LEAD,C4,1.838,0.346,-3.38,3784.9,n/a,-28.03,0.111,2.762,51.72,1.806,2.653,0.17,-3.51,1880.0,,
KILN FIFE,LEAD,C5,2.097,0.015,-2.4,1591.4,n/a,-12.06,0.216,6.011,52.67,2.06,5.819,0.14,-2.41,1890.0,,
KILN FIFE,LEAD,C6,2.484,0.084,-3.58,4501.1,n/a,-17.05,0.371,16.721,52.79,2.439,16.24,0.13,-3.72,1900.0,,
LAGOON KEYS,KEYS,C2,0.91,-0.279,-6.89,1245.0,n/a,-22.95,0.0,0.03,49.79,0.911,0.031,-0.14,-6.65,1900.0,,
LAGOON KEYS,KEYS,C3,1.123,-0.226,-0.77,1357.6,n/a,-16.2,0.0,0.277,50.27,1.125,0.288,-0.17,-0.7,1900.0,,
LAGOON KEYS,KEYS,C4,1.419,-0.073,-1.84,3137.1,n/a,-20.81,0.0,1.502,50.29,1.421,1.55,-0.14,-1.81,1890.0,,
LAGOON KEYS,KEYS,C5,1.841,-0.241,-1.33,1591.4,n/a,-1.33,0.004,12.075,50.9,1.844,12.243,-0.06,-1.32,1900.0,,
LAGOON KEYS,KEYS,C6,2.375,-0.025,-1.22,3182.7,n/a,-1.22,0.047,52.904,51.51,2.379,53.194,-0.02,-1.19,1900.0,,
LANTERN OIL,BASS,C1,0.602,-0.101,-99.0,0.0,n/a,-99.0,0.0,0.0,45.39,0.602,0.0,0.0,-99.0,1900.0,,
LANTERN OIL,BASS,C2,0.595,-0.595,-99.0,0.0,n/a,-99.0,0.0,0.0,47.67,0.595,0.0,0.0,-99.0,1900.0,,
LANTERN OIL,BASS,C3,0.612,-0.737,-99.0,0.0,n/a,-99.0,0.0,0.0,49.26,0.611,0.0,0.0,-99.0,1890.0,,
LANTERN OIL,BASS,C4,0.706,-0.786,-99.0,0.0,n/a,-99.0,0.0,0.0,49.62,0.706,0.0,0.0,-99.0,1900.0,,
LICHEN HARMONIUM,KEYS,C2,1.319,0.129,-7.8,1209.5,n/a,-29.71,0.005,0.015,48.6,1.314,0.015,0.0,-7.72,1680.0,,
LICHEN HARMONIUM,KEYS,C3,1.555,0.206,-7.37,1357.6,n/a,-26.39,0.011,0.022,49.59,1.549,0.022,0.0,-7.3,1750.0,,
LICHEN HARMONIUM,KEYS,C4,1.72,0.228,-5.89,1209.5,n/a,-19.05,0.013,0.022,51.98,1.718,0.023,-0.19,-5.81,720.0,,
LICHEN HARMONIUM,KEYS,C5,2.01,-0.072,0.0,1838.6,n/a,-20.51,0.03,0.049,51.55,2.004,0.051,-0.17,0.0,440.0,,
LICHEN HARMONIUM,KEYS,C6,2.336,-0.064,-99.0,0.0,n/a,-99.0,0.137,0.079,46.85,2.335,0.096,-0.85,-99.0,910.0,,
LOAM FLOOR,BASS,C1,0.424,-0.279,-99.0,0.0,n/a,-99.0,0.0,0.0,36.37,0.425,0.0,0.0,-99.0,1890.0,,
LOAM FLOOR,BASS,C2,0.363,-0.827,-99.0,0.0,n/a,-99.0,0.0,0.0,42.61,0.365,0.0,0.0,-99.0,1880.0,,
LOAM FLOOR,BASS,C3,0.413,-0.936,-99.0,0.0,n/a,-99.0,0.0,0.0,46.69,0.414,0.0,0.0,-99.0,1890.0,,
LOAM FLOOR,BASS,C4,0.539,-0.953,-99.0,0.0,n/a,-99.0,0.0,0.0,47.77,0.54,0.0,0.0,-99.0,1890.0,,
MAGMA FLOOR,BASS,C1,1.848,1.145,-99.0,0.0,n/a,-99.0,0.004,0.011,43.26,1.865,0.013,-0.73,-99.0,1970.0,,
MAGMA FLOOR,BASS,C2,1.783,0.593,-99.0,0.0,n/a,-99.0,0.005,0.012,46.28,1.81,0.016,-1.25,-99.0,1900.0,,
MAGMA FLOOR,BASS,C3,1.724,0.375,-99.0,0.0,n/a,-99.0,0.013,0.017,47.68,1.759,0.026,-1.85,-99.0,1890.0,,
MAGMA FLOOR,BASS,C4,1.821,0.329,-99.0,0.0,n/a,-99.0,0.026,0.027,47.61,1.862,0.039,-1.6,-99.0,1900.0,,
MAGMA WHIP,LEAD,C2,1.564,0.375,-3.35,1209.5,n/a,-21.29,0.008,0.626,45.95,1.509,0.54,0.64,-3.42,1880.0,,
MAGMA WHIP,LEAD,C3,1.592,0.243,-2.77,1245.0,n/a,-23.74,0.017,1.184,48.23,1.536,1.018,0.66,-2.82,1890.0,,
MAGMA WHIP,LEAD,C4,1.733,0.241,-3.01,2454.2,n/a,-24.44,0.032,2.545,49.6,1.672,2.218,0.6,-3.24,1880.0,,
MAGMA WHIP,LEAD,C5,2.0,-0.082,-2.44,1591.4,n/a,-9.95,0.053,4.724,50.14,1.931,4.137,0.58,-2.5,1890.0,,
MAGMA WHIP,LEAD,C6,2.383,-0.017,-3.05,3182.7,n/a,-11.55,0.193,16.08,50.53,2.301,14.644,0.41,-3.25,1900.0,,
MALLET FALLS,PLUCK,C2,0.534,-0.655,-99.0,0.0,n/a,-99.0,0.0,0.0,43.41,0.534,0.0,0.0,-99.0,300.0,,
MALLET FALLS,PLUCK,C3,0.698,-0.651,-99.0,0.0,n/a,-99.0,0.0,0.0,44.45,0.698,0.0,0.0,-99.0,320.0,,
MALLET FALLS,PLUCK,C4,0.921,-0.571,-2.68,1377.4,n/a,-24.99,0.0,0.007,44.4,0.921,0.007,0.0,-2.73,330.0,,
MALLET FALLS,PLUCK,C5,1.256,-0.826,-8.3,1591.4,n/a,-8.3,0.0,0.18,43.93,1.256,0.168,0.3,-8.58,320.0,,
MALLET FALLS,PLUCK,C6,1.752,-0.648,-9.62,3182.7,n/a,-9.62,0.0,8.818,43.72,1.754,8.272,0.28,-9.93,310.0,,
MAMMOTH STEP,BASS,C1,0.643,-0.06,-99.0,0.0,n/a,-99.0,0.0,0.0,42.5,0.643,0.0,0.0,-99.0,510.0,,
MAMMOTH STEP,BASS,C2,0.634,-0.555,-99.0,0.0,n/a,-99.0,0.0,0.0,45.43,0.634,0.0,0.0,-99.0,270.0,,
MAMMOTH STEP,BASS,C3,0.65,-0.699,-99.0,0.0,n/a,-99.0,0.0,0.0,43.78,0.65,0.0,0.0,-99.0,490.0,,
MAMMOTH STEP,BASS,C4,0.711,-0.781,-99.0,0.0,n/a,-99.0,0.0,0.0,43.66,0.712,0.0,0.0,-99.0,570.0,,
MARIMBA MESA,PLUCK,C2,0.378,-0.811,-99.0,0.0,n/a,-99.0,0.0,0.0,40.19,0.379,0.0,0.0,-99.0,270.0,,
MARIMBA MESA,PLUCK,C3,0.54,-0.809,-99.0,0.0,n/a,-99.0,0.0,0.0,43.76,0.542,0.0,0.0,-99.0,250.0,,
MARIMBA MESA,PLUCK,C4,0.737,-0.755,-99.0,0.0,n/a,-99.0,0.0,0.0,41.5,0.739,0.0,0.0,-99.0,260.0,,
MARIMBA MESA,PLUCK,C5,1.068,-1.014,0.0,1838.6,n/a,-26.12,0.0,0.005,43.19,1.071,0.005,0.0,0.0,250.0,,
MARIMBA MESA,PLUCK,C6,1.589,-0.811,0.0,3677.2,n/a,-29.05,0.0,0.205,43.0,1.592,0.202,0.06,0.0,250.0,,
MEADOW SUNDAY,KEYS,C2,0.715,-0.475,-99.0,0.0,n/a,-99.0,0.0,0.0,46.4,0.715,0.0,0.0,-99.0,1800.0,,
MEADOW SUNDAY,KEYS,C3,0.906,-0.443,-18.48,1209.5,n/a,-29.31,0.0,0.008,45.62,0.906,0.008,0.0,-18.42,1890.0,,
MEADOW SUNDAY,KEYS,C4,1.166,-0.326,-8.96,1812.2,n/a,-23.68,0.0,0.224,43.28,1.167,0.229,-0.1,-8.92,1890.0,,
MEADOW SUNDAY,KEYS,C5,1.43,-0.652,0.0,1838.6,n/a,-15.04,0.0,0.42,49.05,1.431,0.434,-0.14,0.0,1890.0,,
MEADOW SUNDAY,KEYS,C6,1.923,-0.477,0.0,3677.2,n/a,-22.39,0.0,1.875,50.37,1.923,1.928,-0.12,0.0,1890.0,,
MIDAS MODE,CHIP,C2,1.632,0.442,-3.38,2034.2,n/a,-27.05,0.014,2.217,45.61,1.636,2.244,-0.05,-3.37,410.0,,
MIDAS MODE,CHIP,C3,1.879,0.53,-1.74,1357.6,n/a,-12.34,0.105,4.994,45.96,1.883,5.028,-0.03,-1.74,520.0,,
MIDAS MODE,CHIP,C4,2.268,0.776,9.71,1812.2,n/a,-19.96,0.127,2.647,51.65,2.271,2.655,-0.01,9.71,410.0,FIXPEAK,
MIDAS MODE,CHIP,C5,2.837,0.756,0.0,1591.4,n/a,0.0,1.399,18.416,48.67,2.838,18.422,-0.0,0.0,1110.0,SHARP,
MIDAS MODE,CHIP,C6,3.208,0.808,0.71,7249.0,n/a,-17.54,1.802,40.831,51.89,3.209,40.829,0.0,0.71,1510.0,SHARP,
MIRROR LAKE,LEAD,C2,1.611,0.421,-2.71,2562.9,n/a,-24.7,0.025,3.792,48.43,1.615,3.83,-0.04,-2.69,1880.0,,
MIRROR LAKE,LEAD,C3,1.726,0.377,0.17,1568.6,n/a,-11.3,0.04,5.995,50.13,1.73,6.054,-0.04,0.17,1880.0,,
MIRROR LAKE,LEAD,C4,2.005,0.513,3.06,2715.3,n/a,-13.86,0.074,9.711,51.58,2.01,9.798,-0.04,3.09,880.0,,
MIRROR LAKE,LEAD,C5,2.367,0.285,0.0,1591.4,n/a,0.0,0.116,25.096,53.16,2.373,25.218,-0.02,0.0,720.0,,
